기준일,확진자수,누적확진자수,누적사망자수,사망자수,누적의심신고검사자수
2021-12-08,7173,489478,4020,63,17787657
2021-12-09,7375,496853,4077,57,17870821
2021-12-10,6748,503601,4130,53,17950721
2021-12-11,6977,510578,4210,80,18024403
2021-12-12,6681,517259,4252,42,18084589
2021-12-13,5816,523075,4292,40,18140572
2021-12-14,5567,528642,4386,94,18224740
2021-12-15,7849,536491,4456,70,18298675
2021-12-16,7619,544110,4518,62,18381569
2021-12-17,7434,551544,4591,73,18460563
2021-12-18,7310,558854,4644,53,18539009
2021-12-19,6233,565087,4722,78,18593165
2021-12-20,5316,570403,4776,54,18645857
2021-12-21,5192,575595,4828,52,18718803
2021-12-22,7452,583047,4906,78,18786344
2021-12-23,6914,589961,5015,109,18859285
2021-12-24,6233,596194,5071,56,18929158
2021-12-25,5840,602034,5176,105,18994820
2021-12-26,5413,607447,5245,69,19040194
2021-12-27,4203,611650,5300,55,19082135
2021-12-28,3864,615514,5346,46,19141481
2021-12-29,5407,620921,5382,36,19196738
2021-12-30,5034,625955,5455,73,19251165
2021-12-31,4873,630828,5563,108,19309072
2022-01-01,4415,635243,5625,62,19364122
2022-01-02,3831,639074,5694,69,19456900
2022-01-03,3125,642199,5730,36,19546883
2022-01-04,3021,645220,5781,51,19671880
2022-01-05,4441,649661,5838,57,19778824
2022-01-06,4122,653783,5887,49,19875047
2022-01-07,3713,657496,5932,45,19971712
2022-01-08,3507,661003,5986,54,20046220
2022-01-09,3371,664374,6037,51,20099870
2022-01-10,3005,667379,6071,34,20148476
2022-01-11,3092,670471,6114,43,20215297
2022-01-12,4383,674854,6166,52,20277357
2022-01-13,4164,679018,6210,44,20329715
2022-01-14,4538,683556,6259,49,20389154
2022-01-15,4419,687975,6281,22,20446099
2022-01-16,4189,692164,6310,29,20489023
2022-01-17,3854,696018,6333,23,20527722
2022-01-18,4062,700080,6378,45,20588481
2022-01-19,5803,705883,6452,74,20649522
2022-01-20,6600,712483,6480,28,20709568
2022-01-21,6766,719249,6501,21,20765930
2022-01-22,7004,726253,6529,28,20838500
2022-01-23,7626,733879,6540,11,20892539
2022-01-24,7511,741390,6565,25,20943638
2022-01-25,8570,749960,6588,23,21026346
2022-01-26,13009,762969,6620,32,21110639
2022-01-27,14514,777483,6654,34,21196354
2022-01-28,16093,793576,6678,24,21269304
2022-01-29,17513,811089,6712,34,21377393
2022-01-30,17522,828611,6732,20,21448119
2022-01-31,17077,845688,6755,23,21518073
