"해역구분(1)","연안구분명(1)","층별구분(1)",2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
"해역구분(1)","연안구분명(1)","층별구분(1)",수온Temp. (℃),염분Sal,수소이온농도pH,용존산소량DO (㎎/ℓ),화학적산소요구량COD (㎎/ℓ),클로로필Chl-a (㎍/ℓ),총질소TN (㎍/ℓ),용존무기인DIP (㎍/ℓ),총인TP (㎍/ℓ),규산규소 Si(OH)4 (㎍/ℓ),부유물질SPM (㎎/ℓ),용존무기질소DIN (㎍/ℓ),수온Temp. (℃),염분Sal,수소이온농도pH,용존산소량DO (㎎/ℓ),화학적산소요구량COD (㎎/ℓ),클로로필Chl-a (㎍/ℓ),총질소TN (㎍/ℓ),용존무기인DIP (㎍/ℓ),총인TP (㎍/ℓ),규산규소 Si(OH)4 (㎍/ℓ),부유물질SPM (㎎/ℓ),용존무기질소DIN (㎍/ℓ),수온Temp. (℃),염분Sal,수소이온농도pH,용존산소량DO (㎎/ℓ),화학적산소요구량COD (㎎/ℓ),클로로필Chl-a (㎍/ℓ),총질소TN (㎍/ℓ),용존무기인DIP (㎍/ℓ),총인TP (㎍/ℓ),규산규소 Si(OH)4 (㎍/ℓ),부유물질SPM (㎎/ℓ),용존무기질소DIN (㎍/ℓ),수온Temp. (℃),염분Sal,수소이온농도pH,용존산소량DO (㎎/ℓ),화학적산소요구량COD (㎎/ℓ),클로로필Chl-a (㎍/ℓ),총질소TN (㎍/ℓ),용존무기인DIP (㎍/ℓ),총인TP (㎍/ℓ),규산규소 Si(OH)4 (㎍/ℓ),부유물질SPM (㎎/ℓ),용존무기질소DIN (㎍/ℓ),수온Temp. (℃),염분Sal,수소이온농도pH,용존산소량DO (㎎/ℓ),화학적산소요구량COD (㎎/ℓ),클로로필Chl-a (㎍/ℓ),총질소TN (㎍/ℓ),용존무기인DIP (㎍/ℓ),총인TP (㎍/ℓ),규산규소 Si(OH)4 (㎍/ℓ),부유물질SPM (㎎/ℓ),용존무기질소DIN (㎍/ℓ)
"남해","남해도남안","표층",17.35,33.39,8.23,8.33,1.24,1.18,147.5,8.5,18.2,242.8,6.2,51.9,17.87,33.02,8.25,8.65,1.33,1.58,127,3.5,16.1,117.1,6.5,15.4,17.48,32.11,8.25,9.28,1.79,4.92,179.8,7.2,25.3,262.6,8.9,41.3,18.47,32.99,8.14,8.21,1.17,1.55,146.8,6.1,18.8,195.2,8.1,43,16.43,33.17,8.16,8.89,1.68,1.16,162.6,7.3,22.7,200.2,10.4,38.9
"남해","여수연안","표층",17.22,32.88,8.18,7.75,1.39,1.91,195.6,14,27.6,314.2,10.4,82.8,17.4,32.4,8.26,8.89,1.49,1.9,168.8,5.4,22.2,120,6.8,28.2,16.61,31.52,8.13,8.48,1.72,6.43,229.9,13.6,29.9,450.6,9.1,90.3,18.12,32.35,8.13,8.55,1.83,3.12,181.4,9.5,26.9,222.3,9.5,46.8,16.39,32.77,8.17,9.23,1.9,1.68,158.1,5.3,24.1,127.2,12.1,21.8
"남해","여자만","표층",16.31,32.16,8.16,8.01,1.78,3.05,251,17.9,38.4,476.5,27.6,104.3,17.29,31.3,8.15,8.32,1.85,3.34,208.1,9.8,33.4,418.7,19.7,76.7,17.07,29.94,8.18,9.63,2.45,9.95,254.8,9.1,41.4,467.9,23,62.8,18.27,31.55,8.06,8.68,2.6,4.73,225.3,11.1,47,490.1,39.2,37.9,16.85,32.2,8.07,8.86,2.65,2.34,210.1,12.6,42.6,491,14.6,20.8
"남해","고흥연안","표층",16.79,33.2,8.21,8.22,1.31,1.53,182.4,11.2,24.2,285,14.8,69.4,16.64,32.64,8.2,8.44,1.09,1.97,149.4,7.5,19.9,221.5,12.6,39.3,16.86,32.59,8.13,8.73,1.33,2.57,180.1,9.9,28.8,361.7,20.1,61.4,17.75,32.71,8.12,8.4,1.45,1.71,160,9.6,24.7,277.5,31.4,52.7,15.81,33.01,8.02,8.71,1.73,1.48,159.5,8.3,23.5,216.4,13.4,34.4
"남해","제주연안","표층",17.65,33.78,8.17,8.29,1.03,1.4,158.3,7.5,19.1,201.6,5.6,51.4,19.93,33.04,8.18,9.24,1.07,0.68,144.2,8,15.9,353.7,11.4,41.6,19.16,32.93,8.36,8.51,1.02,1.26,164.9,6.4,15.7,338.3,8.6,67.1,19.46,33.26,8.21,8.42,0.98,1.28,142.6,5,13.2,176,31,53.5,20.01,32.53,8.11,7.57,1.46,0.96,141.3,6.9,14.8,224.3,4.6,44.5
"남해","조천연안","표층",17.55,33.73,8.16,8.1,1.2,0.43,162.2,7.6,17.8,226,7.2,71.4,19.9,33.3,8.2,8.94,1.14,0.53,159.1,5.6,13.4,196.6,6.1,34.1,18.95,32.99,8.37,8.22,1.45,1.21,153.6,6.5,13.9,189.3,8.5,48,19.22,33.33,8.21,8.43,1.08,1.84,154.9,5.3,13.5,137.6,27.9,47.2,19.8,32.66,8.13,7.73,1.58,0.74,146.2,7,15.4,223,3.8,37.9
"남해","성산연안","표층",18.48,33.84,8.16,8.29,1.18,0.62,131,6.2,14.5,461.8,6.9,42.5,20.31,33.36,8.2,8.76,1.72,0.48,128.2,5.3,12.7,186.7,5.3,38.1,19.71,33.33,8.37,8.18,1.07,1.44,122,4.8,11.7,134.5,9.7,27.5,19.16,33.57,8.22,8.83,1.2,1.13,140.2,4.1,11.6,133.1,25.7,42.9,20.08,32.98,8.17,7.57,1.74,0.66,119.3,5.9,12.7,188.9,4.1,30.9
"남해","표선연안","표층",18.84,33.78,8.19,8,1.08,0.8,130,5.3,14.4,173,7.2,35.8,20.79,33.41,8.21,8.88,1.2,0.28,131.4,4.7,12,210.8,4.2,31.4,20.53,33.5,8.38,8.3,1.45,1.99,134.2,4.5,13.3,147,9.1,30.4,19.44,33.54,8.25,8.88,1.31,2.04,165.4,5.1,15.6,196,25.5,48.2,20.5,33.04,8.16,7.56,1.62,0.67,168.2,6.1,14.2,196.7,11.5,35.5
"남해","서귀포연안","표층",18.8,33.69,8.13,8.19,1.31,0.73,153.4,6.1,15.7,388.6,7.8,68.3,20.68,33.44,8.19,8.86,1.03,0.46,160.1,5.4,14.9,243.9,11.5,43.1,20.94,33.55,8.43,8.11,1.41,1.19,128.4,3.9,12.3,169.4,8.9,33.2,19.73,33.61,8.21,8.95,1.21,1.26,150.4,4.7,11,260.4,26.1,65.8,20.59,32.98,8.17,7.66,1.31,0.83,181.2,6.5,14.6,257,3.8,73.6
"남해","대정연안","표층",18.41,33.87,8.13,8.42,1.2,0.84,135.1,6,16.2,161.4,5.8,43.5,20.07,33.55,8.18,8.89,1.22,0.3,122.1,6,13,190.4,6.5,35.3,20.04,33.7,8.37,8.31,1.22,1.25,131.7,5.5,13.4,159.8,7.6,41.6,19.31,33.66,8.16,8.51,0.99,1.13,159.4,5.7,12.5,152.7,28.7,60.4,19.96,33.36,8.15,7.41,1.43,0.75,118.8,5,12.4,180.9,4.7,27.5
"남해","한림연안","표층",18.23,33.84,8.15,8.51,1.26,0.73,125.9,5.3,13.6,160,7.5,45.3,19.87,33.32,8.17,8.83,1.06,0.52,145,6.3,14.3,199.3,8.8,41.1,19.24,33.59,8.36,7.78,1.18,1.59,146.2,5.6,14.1,168.3,8.3,45.1,19.22,33.52,8.18,8.64,1.22,0.61,148.3,7.2,13,191.5,26.3,72,19.46,33.3,8.08,7.52,1.62,0.6,179.6,7.2,15.4,220.8,5.6,46.5
"남해","진도연안","표층",15.74,32.85,8.07,9.83,1.59,0.95,204.4,15.8,36.8,326.5,46,106.4,15.94,32.69,8.13,9.08,1.18,1.04,202.9,12.5,24.6,267.8,20.3,70.1,16.1,32.66,8.07,8.9,1.59,0.9,218.3,12.1,33.8,254.5,32.6,89.9,16.78,32.17,8.09,8.51,1.65,1.38,217.7,13.2,30.4,311.6,24.3,98.4,15.53,32.62,8.14,8.88,1.73,1.79,209.1,14.3,28.2,323.7,29.9,92.8
"남해","해남만","표층",16.81,31.72,8.21,9.62,1.97,2.75,212.4,9.3,25.3,238.8,14.6,101.2,16.58,30.89,8.29,10.24,2.2,4.2,214.1,1.6,13.8,55,7.3,33.9,16.15,28.18,8.13,9.53,1.77,4.11,327.5,9.5,25.9,336,11.1,170.3,17.27,29.14,8,9.07,1.56,2.31,337.1,15.6,30.9,270.7,12.8,195.5,16.5,31.26,8.34,9.08,1.71,3.64,235.9,11.3,27.2,275.3,15.8,86.5
"남해","기장연안","표층",18,33.66,8.23,8.04,1.17,0.97,139,7.3,18.7,251.4,5.8,49.8,18.01,33.57,8.3,8.06,0.6,1.73,147.8,8.2,17.8,208.6,5.3,40.6,18.21,33.34,8.23,8.77,1.42,2.77,157.4,7,19.4,240.6,7.5,50.9,18.12,33.28,8.11,7.88,1.12,1.58,183.5,10.3,22.6,303,8.3,82.4,17.89,33.44,8.19,8.42,1.83,1.57,153.9,9.8,22.1,241.4,8.6,57.1
"동해","거진연안","표층",13.66,33.56,8.16,9.31,1.31,0.92,145.7,6.2,16.7,169.4,6,62,15.25,33.61,8.16,8.78,0.98,1.23,144.7,6,15.9,184.3,5.8,39.1,16.06,32.99,8.18,9.39,1.6,2.09,163.5,7.3,21.8,212.6,5.1,54.1,16.15,33.59,8.25,8.98,1.33,1.64,153.1,6.8,17.8,165.8,6.5,45.8,15.35,32.67,8.2,8.88,2.09,1.28,137.5,4.4,14.7,78.9,5.2,29.1
"동해","속초연안","표층",14.88,33.53,8.2,9,1.09,1.2,134.6,4.9,15.1,109.8,6.6,42.1,15.65,33.64,8.17,8.4,0.96,1.11,167.2,7,16.1,192.3,4.2,48.1,15.78,33.49,8.19,9.06,1.29,2.28,123,5.6,16.2,182.6,4.6,43.5,15.93,33.65,8.24,8.91,1.33,1.51,151.8,6.8,16.8,168.7,9,45.6,15.71,32.95,8.18,8.55,1.93,1.28,147.8,5.2,15.3,89.5,5.2,37.5
"동해","양양연안","표층",14.98,33.65,8.18,9.01,1.17,0.94,126,4.8,15.3,120.3,4.4,39.5,16.62,33.66,8.16,8.51,0.96,0.81,141.8,4.9,13.4,152.6,5.4,28.4,15.75,33.55,8.19,9.18,1.34,1.99,122,5.2,16,168.1,6.1,41.9,16.06,33.73,8.24,8.65,1.46,1.33,167.5,6.5,16.6,150.2,7.2,33.3,16.26,32.85,8.2,8.69,1.74,1.12,146.1,5.5,16,136.2,6.5,40.5
"동해","주문진연안","표층",15.24,33.56,8.13,8.73,1.15,0.91,150.4,5.5,16.7,141.2,5.2,46.5,17.01,33.64,8.2,8.55,1.07,0.74,136.3,4.8,13.1,153.1,4.9,29.3,15.84,33.4,8.22,9.42,1.59,2.98,129.4,3.8,15.8,135.4,7.6,32.9,15.66,33.86,8.22,9.11,1.41,1.39,159.3,7,16.2,157.7,6.8,47,16.55,32.94,8.19,8.6,1.59,0.94,141.2,5.8,16.2,140.4,8.1,43.3
