조사년도,해역,연안명칭,평균,수온(C)표층,수온(C)저층,염분 표층,염분 저층,수소이온농도(ph) 표층,수소이온농도(ph) 저층,용존산소량(DO)(L당mg)표층,용존산소량(DO)(L당mg)저층,화학적산소요구량(COD)(L당mg)표층,화학적산소요구량(COD)(L당mg)저층,암모니아성질소(NH4-N)( L당 마이크로g)표층,암모니아성질소(NH4-N)( L당 마이크로g)저층,아질산염질소(NO2-N)( L당 마이크로g)표층,아질산염질소(NO2-N)( L당 마이크로g)저층,질산성질소(NO3-N)(L당 마이크로g)표층,질산성질소(NO3-N)(L당 마이크로g)저층,용존무기질소(DIN)( L당 마이크로g)표층,용존무기질소(DIN)( L당 마이크로g)저층,총질소(T-N)( L당 마이크로g)표층,총질소(T-N)( L당 마이크로g)저층,용존무기인(DIP)( L당 마이크로g)표층,용존무기인(DIP)( L당 마이크로g)저층,총인(T-P)( L당 마이크로g)표층,총인(T-P)( L당 마이크로g)저층,SiO2-Si( L당 마이크로g)표층,SiO2-Si( L당 마이크로g)저층,부유물질량(SS)(L당mg)표층,부유물질량(SS)(L당mg)저층,클로로필-a(L당 마이크로g)표층,클로로필-a(L당 마이크로g)저층,투명도(m)표층
2020,남해,남해도남안,Avg.,17.48,14.84,32.11,33.52,8.25,8.16,9.28,7.53,1.79,1.26,5.94,8.44,3.9,6.85,31.42,81.75,41.25,97.04,179.81,205.47,7.22,16.77,25.32,29.65,262.63,427.51,8.87,12.94,4.92,2.07,3.47
2020,남해,광양만,Avg.,17.42,15.63,28.45,32.11,8.11,8.07,8.72,7.68,2.12,1.79,39.45,39.43,12.81,13.69,136.81,93.49,189.07,146.6,340.63,282.91,19.75,24.32,42.64,41.48,721.95,588.12,12.5,15.16,7.91,2.31,2.12
2020,남해,여수연안,Avg.,16.61,15.12,31.52,32.96,8.13,8.07,8.48,7.41,1.72,1.38,19.7,22.28,8.87,11.52,61.74,72.83,90.31,106.63,229.89,248.57,13.58,18.52,29.94,32.66,450.56,522.79,9.14,13.86,6.43,2.21,2.53
2020,남해,가막만,Avg.,17.05,15.78,31.87,32.45,8.25,8.14,9.45,8.04,2.42,1.65,16.26,32.97,3.87,7.86,30.25,37.36,50.37,78.19,197.96,215,9.26,14.95,30.3,33.93,349.41,442.84,14.81,15.64,5.71,3.88,2.86
2020,남해,여자만,Avg.,17.07,15.85,29.94,31.57,8.18,8.14,9.63,8.53,2.45,1.9,27.95,11.89,5.39,10.57,29.41,33.68,62.75,56.14,254.83,255.09,9.12,14.65,41.37,43.04,467.91,512.39,23.01,29.69,9.95,6.12,1.67
2020,남해,고흥연안,Avg.,16.86,15.81,32.59,32.83,8.13,8.12,8.73,8.15,1.33,1.43,9.84,8.93,7.5,10.4,44.01,50.78,61.36,70.1,180.06,201.78,9.87,11.76,28.83,35.29,361.74,357.8,20.08,38.05,2.57,2.29,2.05
2020,남해,득량만,Avg.,16.73,15.69,31.12,31.94,8.1,8.09,8.68,8.45,1.76,1.67,24.21,23.57,5.74,7.99,37.7,40.96,67.66,72.52,221.16,231.34,12.66,15.92,38.68,41.18,402,443.06,20.4,27.28,5.96,5.11,1.53
2020,제주,제주연안,Avg.,19.16,18.63,32.93,33.58,8.36,8.34,8.51,8.16,1.02,1.37,9.64,13.14,2.05,2.65,55.37,41.57,67.06,57.36,164.85,152.3,6.4,6.44,15.66,14.8,338.3,241.89,8.58,8.4,1.26,1.7,7.24
2020,제주,조천연안,Avg.,18.95,17.52,32.99,33.67,8.37,8.33,8.22,7.92,1.45,1.65,11.4,7.23,1.86,3.03,34.7,37.18,47.96,47.43,153.62,144.47,6.52,7.3,13.91,14.01,189.32,189.61,8.53,9.06,1.21,0.85,9.79
2020,제주,성산연안,Avg.,19.71,18.42,33.33,33.8,8.37,8.32,8.18,7.99,1.07,1.34,3.85,5.76,1.98,2.93,21.67,37.24,27.5,45.93,121.95,148.02,4.8,6.84,11.71,13.33,134.54,175.02,9.67,8.91,1.44,0.86,9
2020,제주,표선연안,Avg.,20.53,18.22,33.5,34.02,8.38,8.33,8.3,7.93,1.45,1.41,9.55,6.31,1.84,2.72,18.97,28.77,30.36,37.8,134.23,131.11,4.46,5.59,13.33,12.93,147.04,160.48,9.11,9.24,1.99,1.22,9.01
2020,제주,서귀포연안,Avg.,20.94,18.86,33.55,34.05,8.43,8.37,8.11,7.97,1.41,1.38,5.76,5.4,1.68,1.97,25.73,23.4,33.17,30.77,128.42,117.12,3.91,5.25,12.34,12.82,169.4,142.96,8.88,10.34,1.19,1.62,8.76
2020,제주,대정연안,Avg.,20.04,18.96,33.7,33.92,8.37,8.35,8.31,7.53,1.22,1.16,10.88,11.89,1.71,2.38,29.05,35.33,41.64,49.59,131.74,132.24,5.54,6.7,13.4,14.23,159.81,170.07,7.6,7.55,1.25,1.5,8.87
2020,제주,한림연안,Avg.,19.24,18.65,33.59,33.86,8.36,8.34,7.78,7.57,1.18,1.14,10.59,8.36,2.08,2.26,32.39,34.4,45.06,45.02,146.21,138.99,5.56,7.05,14.15,14.68,168.25,161.99,8.28,6.59,1.59,1.65,7.06
2020,남해,완도연안,Avg.,16.44,16.09,32.89,33,8.09,8.19,8.76,8.57,1.61,1.64,9.41,11.13,5.41,5.01,63.77,63.58,78.58,79.73,194.38,198.47,11.97,11.2,26.98,27.06,230.18,224.18,7.7,14.67,0.65,0.68,2.04
2020,남해,도암만,Avg.,17.05,16.81,31.04,31.4,8.03,8.12,9.27,9.03,1.72,1.84,15.43,16.67,4.93,5.55,49.65,50.39,70.01,72.61,241.42,236.11,10.25,11.66,34.22,39.68,271.84,286.47,12.5,28.2,2.21,1.91,1.27
2020,남해,진도연안,Avg.,16.1,15.76,32.66,32.7,8.07,8.09,8.9,8.72,1.59,1.69,3.84,4.24,2.93,3.22,83.1,88.66,89.87,96.12,218.28,220.8,12.06,12.98,33.79,35.02,254.5,266.84,32.64,50.3,0.9,1.2,1.02
2020,서해,해남만,Avg.,16.15,15.94,28.18,30.67,8.13,8.12,9.53,9.13,1.77,1.72,13.47,10.42,11.21,10.57,145.59,143.78,170.27,164.77,327.51,283.86,9.52,12.06,25.92,25.47,336.01,325.73,11.11,9.5,4.11,3.4,2.25
2020,서해,목포연안,Avg.,16.37,15.84,29.01,30.39,8.08,8.06,9.09,8.56,1.93,1.81,21.31,22.42,15.82,14.65,211.08,178.68,248.2,215.75,387.09,349.89,15.09,17.78,34.44,35.32,400.17,398.79,20.17,22.45,3.85,3.96,1.85
2020,서해,신안연안,Avg.,15.94,15.81,31.46,31.6,8.08,8.09,8.85,8.47,1.33,1.38,4.44,3.69,7.38,6.49,141.88,139.94,153.7,150.11,265.25,285.15,15.51,15.12,37.16,40.78,358.73,342.17,43.17,47.39,4.29,2.45,1.06
2020,서해,무안연안,Avg.,16.76,16.47,30.19,30.29,8.05,8.11,9.25,8.97,1.7,1.77,11.58,10.72,11.58,11.1,158.68,153.81,181.84,175.63,342.88,334.22,15.89,15.37,36.26,39.67,403.89,389.72,32.02,44.75,2.85,2.81,1.16
2020,서해,함평연안,Avg.,17.04,16.87,30.5,30.55,7.96,8,9.83,9.72,2.09,2.49,10.46,15.53,9.07,9.16,106.18,119.15,125.71,143.84,322.64,333.24,18.36,20.75,49.9,57.93,303.87,328.8,33.58,85.76,1.97,1.96,0.74
