순위,종목명,검색비율,현재가,전일비,등락률,거래량,시가,고가,저가,PER,ROE
17.0,금양,0.72%,61900.0,3000.0,+5.09%,2549815.0,62400.0,66600.0,60500.0,-112.75,-24.34
18.0,현대로템,0.72%,35700.0,700.0,-1.92%,7039035.0,35600.0,36050.0,33050.0,19.7,14.06
19.0,두산에너빌리티,0.71%,17320.0,780.0,-4.31%,5264099.0,17740.0,17980.0,17250.0,-13.89,-11.7
20.0,STX,0.71%,11180.0,1380.0,+14.08%,23533728.0,10450.0,12360.0,10330.0,-23.59,-23.17
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
21.0,마이크로투나노,0.61%,25950.0,750.0,+2.98%,6750190.0,25200.0,30500.0,25000.0,,25.18
22.0,엘앤에프,0.58%,266500.0,5000.0,-1.84%,529034.0,271500.0,275500.0,265500.0,35.41,28.26
23.0,LG에너지솔루션,0.58%,561000.0,10000.0,+1.81%,125720.0,551000.0,564000.0,550000.0,169.74,5.75
24.0,위메이드,0.57%,50500.0,1200.0,-2.32%,471215.0,52000.0,52500.0,49850.0,-9.17,-37.05
25.0,SK하이닉스,0.55%,87800.0,2300.0,+2.69%,2023611.0,86400.0,88700.0,86200.0,28.66,3.56
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
26.0,이아이디,0.50%,2920.0,165.0,-5.35%,24431722.0,3175.0,3250.0,2895.0,-2.83,-47.66
27.0,NAVER,0.50%,188800.0,2700.0,+1.45%,378975.0,185800.0,190900.0,185700.0,40.74,3.29
28.0,이브이첨단소재,0.48%,6950.0,710.0,-9.27%,7172339.0,7200.0,7550.0,6900.0,-20.44,-17.59
29.0,포스코스틸리온,0.44%,61800.0,8900.0,+16.82%,1662579.0,58900.0,65100.0,58500.0,16.33,6.84
30.0,유니온머티리얼,0.44%,4390.0,65.0,+1.50%,13480730.0,4195.0,4540.0,4035.0,-878.0,-0.26
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
순위,종목명,검색비율,현재가,전일비,등락률,거래량,시가,고가,저가,PER,ROE
,,,,,,,,,,,
1.0,삼천리,3.88%,171000.0,73000.0,-29.92%,37763.0,171000.0,171000.0,171000.0,14.08,3.58
2.0,포스코퓨처엠,2.46%,337500.0,10000.0,-2.88%,1629120.0,346000.0,355000.0,334000.0,221.02,4.87
3.0,세방,2.33%,16640.0,4510.0,-21.32%,18495295.0,14850.0,17750.0,14850.0,3.63,11.12
4.0,다우데이타,2.03%,17840.0,3510.0,-16.44%,31864873.0,15000.0,18750.0,15000.0,3.35,19.81
5.0,서울가스,1.96%,161000.0,68500.0,-29.85%,15944.0,161000.0,161000.0,161000.0,45.53,1.7
,,,,,,,,,,,
